artist_name,artist_id,artist_terms,artist_familiarity,artist_hotttnesss,artist_location,artist_7digitalid
R.L. Burnside,AR7TTS41187B9B42D3,delta blues,0.701180874,0.466628889,"Oxford, MS",6186
Stevie Ray Vaughan,ART3O5Z1187B9AB043,texas blues,0.73379894,0.544257506,"Dallas, TX",48814
John Hammond,AR5U94U1187FB5CDCF,blues,0.590692918,0.452817838,,39546
Casiotone For The Painfully Alone,ARRJNTE1187FB44E12,trip hop,0.665322162,0.394217199,,48409
Ec8or,AR6IRG41187B9A4D98,hardcore techno,0.50407567,0.33457736,"Berlin, Germany",7171
The New York Dolls,ARS1OWB1187B99EEAD,glam rock,0.717670525,0.479308459,"New York, NY",24313
Eliane Elias,ARGMXQW1187FB54C34,brazilian jazz,0.669726188,0.427914247,"Sao Paulo, Brazil",2800
Lost Boyz,AROEL1B1187B988B90,gangster rap,0.569741152,0.412240601,"South Jamaica, Queens",10275
The Germs,AR8W8DN1187FB35ED0,rock,0.640048357,0.40439264,"Los Angeles, CA",104787
Yamandu Costa,ARUWLCL1187FB549B8,brazilian jazz,0.397772876,0.383475745,,264183
Chris Rea,AR3793X1187FB50CB3,soft rock,0.643182773,0.500691341,"Middlesbrough, England",4010
Perrey And Kingsley,ARINEWW1187FB5577E,easy listening,0.411421048,0.338414819,,364953
Eurythmics,ARDGB6U1187FB3AD07,dance rock,0.75100762,0.523699078,"London, England",3041
Francis Dunnery,AR2J2WF1187FB46271,singer-songwriter,0.54858513,0.383524247,"Egremont, Cumbria, England",13801
John Cale,ARUI8651187B9ACF52,experimental rock,0.749317801,0.481655862,"Garnant, Wales",10249
Suzanne Ciani,AR89DTT1187B9A7ED5,meditation,0.631946666,0.380704536,California - SF,1647
Vickie Winans,ARMD0G81187B99A519,ccm,0.653937821,0.396855869,,142898
The Berzerker,AR0VZWC1187B99BA57,speedcore,0.668370612,0.45755391,"Melbourne, Australia",373578
Kings Of Leon,ARF2EHS1187B994F4E,southern rock,0.845768866,0.788805935,"Nashville, Tennessee",1246
Edith Lefel,ARZKRD01187FB45FD2,zouk,0.407455644,0.30004649,,230806
Taras,ARK4H5K1187B992F74,trance,0.460171324,0.189314878,,248684
NOFX,AR06EB01187FB40150,punk,0.778816717,0.554291489,"Berkeley, CA",33328
Murskahumppa,ARKPDBH1242077DEB1,suomi rock,0.435889847,0.26803784,,516781
Soda Stereo,ARBJSO81187B9BA09B,rock,0.711165787,0.466826993,,291580
Bruce Rowland,ARRC2JF1187B9B6A93,easy listening,0.443162398,0.30045446,AUSTRALIA,170661
Xcultures,ARNIFX51187FB418EA,gabba,0.400433514,0.266275286,,345476
White Heart,ARCCRTI11F4C845308,ccm,0.477364753,0.337507289,,30101
Heavy D / McGruff,ARNVH8S1187FB52F86,pop rap,0.617870116,0.36366811,"Jamaica, West Indies",257069
Van Halen,ARNLO5S1187B9B80CC,heavy metal,0.744641246,0.579988982,"Pasadena, CA",4741
Black Eyed Peas,ARTDQRC1187FB4EFD4,hip hop,0.845601887,1.005941966,"Los Angeles, CA",15260
Nine Inch Nails,ARK9TRQ1187B99C095,industrial metal,0.905776889,0.598458501,"Cleveland, OH",7338
Nick Cave & The Bad Seeds,ARODBRG1187FB3FD99,rock,0.694021648,0.479407676,,451
Nadine Renee,ARMBYRO1187FB57419,freestyle,0.408389022,0.139247394,,65397
Lesley Gore,ARWY7I71187FB36C3D,brill building pop,0.606925359,0.389100776,"New York, NY",14043
Smartbomb,AR6Y22S1187B99906F,melodic hardcore,0.562463784,0.322485106,,201255
Suburbs,ARI5P4N1187FB3F44D,british pop,0.481004583,0.335651839,Minnesota,324572
Emperor,ARYPWUK1187B98ACED,heavy metal,0.742963152,0.453391186,Norway,8614
Julien Clerc,ARW63KF1187B98AC48,chanson,0.58547954,0.364384925,FR,13038
Glen Campbell,AR8H87D1187FB3A841,country rock,0.67159627,0.481024239,"Delight, AR",15205
T.G. Sheppard,ARLWR721187B9A03C9,country rock,0.449323615,0.343281882,"Humboldt, TN",86039
Slim Whitman,ARF4V431187FB3AA41,folk-pop,0.51644378,0.386669092,"Tampa, FL",11535
Savage Garden,ARBGWMW1187B9AEA3E,easy listening,0.728209707,0.538070295,CA,21235
Queens Of The Stone Age,AR6G4V01187B9AD086,stoner metal,0.798645179,0.552413346,,5845
Hank Penny & The Lincoln Penny Orchestra,ARVQ4QM1187B98AD95,western swing,0.445854631,0.347598889,"Birmingham, AL",20690
Inspiral Carpets,AR9AM2N1187B9AD2F1,indie rock,0.605109702,0.398547535,"Manchester, England",464
Borialis,AR9XEVF1187B99D017,rap rock,0.454043995,0.421415103,,3946
The Dirty Skirts,ARCFOZ71187FB43A0D,indie rock,0.543516131,0.404182207,,253540
Flor Silvestre,ARHFEBO11F50C4825A,ranchera,0.42054585,0.313569343,,66541
Bézu,AR107SB1187B9A79F9,chanson,0.373850623,0.148985481,FRANCE,304198
Redman,ARXWAQQ1187B9AE954,hip hop,0.743129776,0.493566843,"Newark, NJ",368
Solistiyhtye Suomi,ARL6XZC1187FB3936E,german pop,0.13818761,0.31781096,,22836
Eddie Cantor,ARSDSMG1187B98CB59,easy listening,0.416141023,0.331090126,"New York, NY",31296
Schizoid,AR3WMW01187B9921F7,breakcore,0.495559652,0.349192218,,7184
Kai Winding,AR3C3C01187B98E800,hard bop,0.430538907,0.316354001,"Aarhus, Denmark",61091
Sonny Simmons,ARDD9UN1187B98D3A7,free jazz,0.428375417,0.317833879,"Sicily Island, LA",48089
Mira,ARJGNV61187B98F3B5,shoegaze,0.545110951,0.345751247,"Tallahassee, FL",150079
Citizen Kaned,ARSVI4L1187B996181,chill-out,0.483339422,0.277561738,,440130
The Brooklyn Tabernacle Choir,ARVJ0JK1187B98C9C0,gospel,0.559278494,0.432011947,,144534
Ellen McIlwaine,AR4PCIG1187B98D07D,blues-rock,0.438887475,0.325148571,"Nashville, TN",33244
Vince Guaraldi / Bola Sete,AR1RHCO1187B9AF0BF,latin jazz,0.57810363,0.414892612,"San Francisco, CA",4822
Maurice Chevalier,AR1X2H01187B98CCF2,chanson,0.502453177,0.391585329,"Menilmontant, France",15530
Carl Cox Vs Yousef,ARBQBZV1187B99D29E,tech house,0.541975108,0.384184259,,17589
Organized Konfusion,AR9ODB41187FB459B2,hip hop,0.683719468,0.412671631,"SPRINGFIELD, Virginia",392099
Martina McBride,ARF3GX71187FB3EB66,country,0.614870934,0.628246419,"Medicine Lodge, KS",2183
Horace Andy,AR3PN3R1187FB4CEBD,roots reggae,0.626436382,0.374271174,"Kingston, Jamaica",7911
Nazz,ARYWCFZ11E2835CFDD,freakbeat,0.494681417,0.384146444,,391974
Tyrone Davis,ARUT16P1187FB532A4,chicago soul,0.543866303,0.393215104,"Greenville, MS",59262
Hot Tuna,AREOGMA1187B9908EF,blues-rock,0.567278871,0.405178359,"San Francisco, CA",50205
Richard Burton,AR4ABL21187FB3913A,jazz fusion,0.432386477,0.28404741,Pennsylvania,144425
Rory Block,AR8YV1I1187FB45D2B,delta blues,0.513829587,0.343185045,"New York, NY",53100
Boyz II Men,ARR9XGB1187B9912E6,new jack swing,0.790922848,0.601184942,"Philadelphia, PA",1566
Howard Armstrong,ARBKUS51187B98A3AC,piedmont blues,0.454668191,0,"Dayton, TN",166795
Donny Hathaway,ARTB5PP1187FB523B7,jazz funk,0.657406765,0.422472423,"Chicago, IL",4269
Miguel Gallardo,ARXFQDY1187B9AAF1E,male vocalist,0.45871209,0.335101425,,72396
Les Ogres De Barback,ARVEJ9M1187FB4DC44,chanson,0.652367864,0.437964733,,171024
DJ X-Change featuring DJ Joey A,ARTHEAP122BCFCD0B2,ghetto tech,0.342440144,0.281284216,,372116
Morel,ARQESNI1187FB511EE,dance pop,0.49825931,0.33406579,Washington DC,194799
Tony Joe White,ARCZ20M1187FB49687,country rock,0.624723768,0.403509673,"Goodwill, LA",11367
Wolfmother,ARDF8K01187FB37200,stoner metal,0.79225559,0.566971566,"Sydney, Australia",7487
The Roches,AR11NP91187B9901B4,singer-songwriter,0.573605491,0.372251208,New York City,4695
Bob Margolin,ARBZAIL1187FB5B1C8,blues-rock,0.555985053,0.326848818,"Boston, MA",173970
Thomas Battenstein,ARWXHRS1241B9C7A1E,guitar,0.42562724,0,,507172
Jupiter Rising,ARV1P811187FB3CFC6,pop rap,0.662649695,0.363177861,,31632
Dharma Bums,ARIU0MA1187B98D36F,progressive house,0.491921881,0.345809443,,609868
Saafir,ARB4D891187B9954F7,hip hop,0.594779904,0.318902078,,5156
The Verve Pipe,ARQOC971187B9910FA,post-grunge,0.70334944,0.498395338,"Lansing, MI",11661
Bob Neuwirth,AR19SOA1187B98F6E6,singer-songwriter,0.434272038,0.301502462,New York,11737
Marvin Sapp,ARTDBI61187FB48479,gospel,0.733714697,0.459665457,"Grand Rapids, MI",4884
James Hunter,ARSE6YI1187B9B9CD2,blue-eyed soul,0.625443262,0.431526919,Austin,177996
Nelson Ned,AR6C8EJ1187FB3F473,latin jazz,0.498663649,0.32188269," Ubá, Minas Gerais",17871
Mish Mash,AROI96Z1187B9A5304,vocal house,0.505644262,0.351210537,,51871
Cama,ARIOSKN1257509BCE1,los angeles,0.406187449,0.273453727,,257551
Maxi Priest,ARI0PUX1187FB3F215,lovers rock,0.661001337,0.446890727,Great Britain / UK,7148
Porcupine Tree,ARYO9BU1187B9ADA88,experimental rock,0.830252262,0.507965802,,4549
Ragheb Alama,ARZ507V1187FB4425E,arabesque,0.554226467,0.424931835,,121558
Foo Fighters,AR6XPWV1187B9ADAEB,grunge,0.839275393,0.550762085,"Seattle, WA",8293
Shakira Featuring Wyclef Jean,AR6PJ8R1187FB5AD70,dance pop,0.833178561,0.682263177,"Barranquilla, Colombia",21239
The Avengers,AR4CG3B1187FB5B861,rock,0.574973901,0.42251494,California - SF,88914
Robben Ford,AR7BMMV1187FB5B2D7,blues-rock,0.604820432,0.383877494,"Ukiah, CA",4715
Brazilian Tropical Orchestra,AREYIHC1187B99CE0B,bossa nova,0.378013152,0.339408486,,93269
Gil Semedo,AREEMIN11F4C848971,zouk,0.441593442,0.382869956,Netherlands,256108
Soda Stereo,ARBJSO81187B9BA09B,rock,0.711165787,0.466826993,,291580
Xmilk,ARBGJLS11F4C83D4B9,thrash core,0.4621406,0.32138373,,358813
Dolce; Oscar G.,ARVNDLR1187B99CA1B,folk-pop,0.471577282,0.3370893,Oklahoma,163885
Britt Nicole,AR5LZJD1187FB4C5E5,ccm,0.669500125,0.544446277, NC,56696
Schizoid,AR3WMW01187B9921F7,breakcore,0.495559652,0.349192218,,7184
Toni Braxton Featuring Shaggy,ARAEX7Y1187FB42D36,dance pop,0.737972528,0.555968804,"Severn, MD",40884
Perrey And Kingsley,ARK2G5U1187FB46B34,easy listening,0.530605798,0.350327605,,298024
Sven Tasnadi,ARTB56G11C8A41569D,tech house,0.480047819,0.306603641,,95400
Eddie,AR0GGKI1187FB391D5,frevo,0.622684167,0.362238747,,180187
Enthroned,ARZEWUR1187FB53DC8,black metal,0.593416049,0.395709548,"Belgica -- Namur, Namur/Ghent, East Flanders",74269
Suzanne Ciani,AR89DTT1187B9A7ED5,meditation,0.631946666,0.380704536,California - SF,1647
Milan Band,ARTHKKA122BCFCBF58,serialism,0.20107756,0,,-1
Johnny Osbourne,ARJDMBO1187B9AD118,roots reggae,0.618765786,0.409134869,,21344
Dolly Parton,ARYJSY01187B9B7C65,bluegrass,0.707335681,0.603876487,"Locust Ridge, TN",2199
Rance Allen Group,AR77FBJ1187FB49D8D,jazz funk,0.488008882,0.31401179,"Detroit, MI",81013
Pearl Jam,ARFVYJI1187B9B8E13,grunge,0.81444811,0.60797181,"Seattle, WA",1244
Natalie Cole,ARBM4TC1187FB5CE98,vocal jazz,0.69044755,0.507781667,"Los Angeles, CA",4139
Mastodon,ARMQHX71187B9890D3,alternative metal,0.780461749,0.574274731,"Atlanta, GA",29785
Kiril Valeri,ARYXJ5A1187B9B9E56,flamenco,0.605874049,0.433945514,Jerez De La Frontera (Cádiz),23316
Word,ARULHJM1187B997004,blues-rock,0.638880206,0.246340714,,409984
DJ Quik,AROTIMO1187FB532BF,gangster rap,0.712098902,0.413393911,Compton CA,1915
Hank Locklin,AR0X3JJ1187FB3A9A7,honky tonk,0.635757022,0.379436972,"McLellan, FL",2090
BT,AR035N21187FB3938E,electronica,0.786427083,0.512226738,Earth,618
2-4 Grooves feat. Reki D.,ARA0H5U1187FB47949,vocal house,0.622829997,0.426944256,,95199
The Jordanaires,AR358YS1187FB44A29,country gospel,0.382308283,0.283562596,"Springfield, MO",41495
Descendents,ARANOZN1187B9B373E,hardcore punk,0.727230316,0.476559379,"Los Angeles, CA",68151
L.A. Guns,ARHONG11187FB3B120,heavy metal,0.665728336,0.456940558,katy,1390
Bare Jr.,ARRA2F91187B9B4061,post-grunge,0.53938059,0.360583582,,19767
Shelley Fabares,ARSGZ3J1187FB3E610,brill building pop,0.075124762,0.370194701,"Santa Monica, CA",34732
Norrie Paramor,ARMQ32V1187B9999F3,easy listening,0.312415123,0.250601286,England,428115
Gary Hobbs,AR8EDG51187FB41A08,tejano,0.524700041,0.389765518,,23683
Diesel Boy,AR1GYND1187B9A9CD3,pop rock,0.567814264,0.376688631,"Santa Rosa, California",89684
Angelo Badalamenti,AR1PCLK1187FB5BBFF,chill-out,0.698770478,0.399451724,New Jersey,1796
Cradle Of Filth,ARF0W6Z1187B9AC325,sympho black metal,0.784820389,0.572583336,,8580
Jim Chappell,ARWGIOC1187FB4CBEF,chamber jazz,0.520204911,0.361509802,United States,354511
Ladybug,ARZHLNX1187FB4B8E7,dancehall,0.479695608,0.220050765,NY - New York City,182708
Bandido,ARC25S11187B993923,hard house,0.463087254,0.327858925,,423502
Brixx,ARKE8PP1187B997DD4,rap,0.515611096,0,,288930
Nine Inch Nails,ARK9TRQ1187B99C095,industrial metal,0.905776889,0.598458501,"Cleveland, OH",7338
Susana Seivane,ARGTUWC1187B9904A0,gaita,0.352212817,0.297949266,,589889
Leland Martin,ARFS01P1187B9A395A,honky tonk,0.385143351,0.272190152,"Blandford, MA",198307
Test Icicles,ARGWIHH1187B9A79B0,grime,0.682045692,0.373464228,,9789
Heaven 17,AR5MK521187B98E0B8,new romantic,0.630928608,0.461558452,"London, England",16322
React,ARU22AM1187B9961EA,happy hardcore,0.485107918,0.247340584,,143296
Sven Tasnadi,ARTB56G11C8A41569D,tech house,0.480047819,0.306603641,,95400
Mance Lipscomb,AR93RTI1187B98ECFB,texas blues,0.450852685,0.33238987,"Navasota, TX",102301
Scott Wesley Brown,AR9AN471187B99E0DA,modern rock,0.497307512,0.342406391,Atlanta Georgia USA,49854
Flávio José,ARAR4YH1187B98BF2A,brazil,0.424278927,0.295470991,,379063
Moss,AR567PN1187FB4B4F2,future jazz,0.602555589,0.389535576,,56108
Pery Ribeiro,ARYKF861187B99C74B,bossa nova,0.385417447,0.312131222,,32534
Soular,AR4K59J1187FB3759B,breakbeat,0.539181188,0.276702625,Oregon,189677
Dimmu Borgir,ARLSF8H1187B9A76B0,black metal,0.826075467,0.599602643,"Oslo, Norway",18460
Public Image Ltd,ARDG9Z71187B997023,dance rock,0.684994897,0.415517083,"London, England",105561
Gary Moore,AR56P361187B9AC4DB,blues-rock,0.761362238,0.467110649,"Belfast, Northern Ireland",1380
Pascal Sangla,ARDDHGI126E2B3AA76,french pop,0.464481282,0,,565099
The B-52's,ARVML631187B99E90D,dance rock,0.681598553,0.537537201,"Athens, GA",53
Dakis,ARBKMHZ11F4C843491,greek,0.336970428,0,,155912
Sex Pistols,ARD3LXU1187B9ABFC5,punk,0.73118423,0.549204384,,414
Chris Brown,ARXOTQH1187FB57084,r&b,0.892688611,0.852186238,"Fairfax, California",17428
Deekline & Wizard,ARMG6K31187FB55677,breakbeat,0.332330882,0,,92633
Daniela Dessì,ARFUSID1241B9C9462,opera,0.349012002,0,Genova,717545
Hem,ARC6UC81187B989062,folk-pop,0.632242851,0.453435791,NY - New York City,5855
Lily Allen,ARKZJ301187FB521B2,ska,0.916058239,0.535408379,LDN,24981
Pentangle,ARVKAWO11F50C47C9A,british invasion,0.547078569,0.333649141,,30026
DJ Dips,ARHXBJI1241B9C8B7F,turnablism,0.392570166,0.313989733,,562583
Ana Bekuta,ARTFLEU1269FCD1FE3,pop folk,0.326699728,0.305074263,,490852
Jason Miles,AR0LVFQ1187B9A84E0,jazz fusion,0.458055179,0.371760895,NY - New York City,7050
Busdriver,ARU9KWP1187B98B2A7,alternative hip hop,0.618002715,0.349476327,,82279
Byther Smith,ARZ05QG1187FB3843E,chicago blues,0.465194733,0.36228409,"Monticello, MS",18395
Bebo & Cigala,ARTEGHH1187FB435C8,latin jazz,0.483703807,0.351624469,,233361
Bizarre Inc,ARASSX21187FB528B7,breakbeat,0.633817882,0.354725755,"Stafford, England",25398
Bongzilla,ARRH2S81187B98C8AA,stoner metal,0.574400789,0.446071584,"Madison, Wisconsin",170417
The Gone Jackals,ARSF4161187B9B449F,blues-rock,0.44104996,0.353000688,,173858
The Willis Brothers,AR87OXB1187FB39E0B,western swing,0.334628878,0.173067999,,370381
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,ARCLCFS1187B9AE476,latin jazz,0.560411686,0.341904574,"Sao Paulo, Brazil",19806
S.U.P,ARWAPYC1187FB3FCAF,doom metal,0.406166635,0.27238546,,258216
Boogie Pimps,ARILV5E1187B9959C8,hard house,0.62799739,0.365339653,,45918
Brian Keane,ARHSAFX1187B98E89A,world beat,0.453171007,0.3008559,Texas,1710
Aberdeen,ARGR9FY1187FB4D0E7,twee pop,0.583773265,0.343275661,"Poza Rica, MX",65240
The Killers,ARVG4OK1187B9B6BD3,rock,0.918451789,0.819588282,,616
Gloriana,ARGCY1Y1187B9A4FA5,teen pop,0.73699197,0.47722519,"Nashville, TN.",266506
Butterfly Temple,ARYFROT1187B9B78C2,doom metal,0.511000944,0.366743932,,604768
Grant Geissman,ARIN12F1187FB3E92C,smooth jazz,0.422971308,0.317248425,"PEARLINGTON, Mississippi",341235
20/20,ARMZ4PD1187B9ACBCD,power pop,0.50039601,0.314882184,,351633
José Augusto,AR0CWSC1187B9AFE3F,latin pop,0.429544942,0.322468155,,23610
Orbital,ARD5K161187B9AC784,techno,0.693009204,0.498668875,"Sevenoaks, United Kingdom",1269
Bone Thugs-N-Harmony / Akon,ARUZRFN1187B98AC05,gangster rap,0.81592342,0.555138322,"Cleveland, OH",49956
Moonsorrow,ARSTH0R1187B98951E,viking metal,0.646618529,0.442652003,,196832
N.W.A.,ARSL5SP1187B9A7AE0,gangster rap,0.747708669,0.52040786,"Compton, California, USA.",260652
Rage Against The Machine,ARCE0H01187B9AF741,rap metal,0.783458021,0.5890868,"Los Angeles, CA",52369
Jazz Gillum,ARW4AGO1187FB4F107,chicago blues,0.362800142,0.282286406,"Indianola, MS",124036
Rise Against,ARZWK2R1187B98F09F,hardcore punk,0.847081688,0.625080481,Chicago,6795
Ultraviolence,ARDOOH01187B991055,gabba,0.499939221,0.374449431,,370267
Korn,ARMBTFC1187FB56343,rap metal,0.829135422,0.558298348,"Bakersfield, CA",14530
Sir Neville Marriner,ARBH0MS1187FB36311,requiem,0.430024987,0.353034056,,45281
Agnes,ARTXEZN1187B9B8190,europop,0.737540403,0.441355562,Sweden,21632
James Horner,ARBM57Q1187B9AF97C,rock,0.679519208,0.491828704,"Los Angeles, CA",37511
Tantric,ARED2DG1187FB3CB4D,post-grunge,0.720808698,0.467133519,,25225
Mastodon,ARMQHX71187B9890D3,alternative metal,0.780461749,0.574274731,"Atlanta, GA",29785
Xcultures,ARNIFX51187FB418EA,gabba,0.400433514,0.266275286,,345476
The Irish Tenors,AREW1KO1187B98E42E,irish folk,0.599019959,0.374862616,,438878
U2,ARUJ5A41187FB3F5F1,dance rock,0.843526543,0.750311503,"Dublin, Ireland",106
Little Joe,ARE2BVT1187B9AC9A2,soul jazz,0.454709911,0.292801539,,207769
Korn,ARMBTFC1187FB56343,rap metal,0.829135422,0.558298348,"Bakersfield, CA",14530
Blind Blake & The Royal Victoria Hotel Calypsos,AR97EHA1187B98AD5F,country blues,0.521712214,0.351345077,"Jacksonville, FL",79189
Percy Faith,ARFTMGO1187B9A777A,instrumental pop,0.566796475,0.388112774,"Toronto, Ontario, Canada",54798
Extreme,AR5J8XN1187B9B712E,funk metal,0.717991696,0.497711444,,1385
Alexandre Desplat,AR4B3RX1187B9A868A,soundtrack,0.609816403,0.560380805,,31619
Prozak,ARE1N571187B98A47D,rap,0.621213511,0.37425994,London,432178
Jerry Butler,AR8XG9J1187FB418C1,chicago soul,0.589259678,0.389589781,"Sunflower, MS",10152
Yvette Horner,ARHSS201187B98A8CC,chanson,0.411875463,0.295889812,,17101
Delta 9,AR02PUA1187FB52574,gabba,0.586000058,0.409550595,,411129
Placebo,AR6892W1187B9AC71B,british pop,0.804523521,0.586433379,"London, England",23
Tam Tam Go!,ARGNGRI11E2835D567,pop rock,0.515044056,0.316692162,,19856
Gertrudis,ARQDYV0119B866800F,big beat,0.444926413,0.344814469,,107743
Warrior King,ARN5W1B1187B98BE10,roots reggae,0.588370653,0.413237884,,38432
Soda Stereo,ARBJSO81187B9BA09B,rock,0.711165787,0.466826993,,291580
LORE,ARETCTY1187FB4C033,trip hop,0.510794577,0.394127577,,346172
Soul Asylum,ARQXR6R1187FB46FD6,hard rock,0.690080124,0.466775622,"Minneapolis, MN",27818
Carl Doy with NZSO,ARP8TSJ1187FB54852,progressive house,0.342558954,0.292656454,,464306
Horace Andy,AR3PN3R1187FB4CEBD,roots reggae,0.626436382,0.374271174,"Kingston, Jamaica",7911
Jimmy Wakely,ARQGYP71187FB44566,classic country,0.39413854,0.291539727,"Mineola, AR",34818
The Nightraver & The Magican,ARHVU591187B99F46A,gabba,0.341937434,0.244243643,,429664
Rah Digga (Featuring Outsidaz),ARV2V751187FB4330F,hip hop,0.583231605,0.411448143,New Jersey,10828
RUN-DMC,ARX9YIP1187B98A656,hip hop,0.686988955,0.606630152,,13447
Bert Kaempfert And His Orchestra,ARPPURC1187B990FB7,orchestra,0.386291901,0.367639871,,18214
Hank Locklin,AR0X3JJ1187FB3A9A7,honky tonk,0.635757022,0.379436972,"McLellan, FL",2090
Lady May,ARYECMK1187FB5C081,hip hop,0.418610662,0.283699176,Windhoek,584189
Nightwish,AR74Q3R1187B9B24C3,sympho black metal,0.808784962,0.593624366,"Kitee, Finland",11846
Angelo Badalamenti,AR1PCLK1187FB5BBFF,chill-out,0.698770478,0.399451724,New Jersey,1796
Frank Chacksfield,AR0G47L1187B98CC6D,orchestra,0.446256667,0.346357522,"Battle, Sussex, England",30249
Cesar Camargo Mariano/Helio Delmiro,ARKUP6H1187FB3F8E3,latin jazz,0.332148785,0.317504856,,241355
Buzzhorn,ARHRP6Q1187FB3F016,post-grunge,0.473626728,0.378498493,"Milwaukee, WI",4581
Silverstein,AR10USD1187B99F3F1,post-hardcore,0.80113645,0.605507136,"Burlington, Ontario, Canada",21128
!!!,ARTW7I31187B9A4CA9,dance-punk,0.609538992,0.482131081,,141459
The Secret Life of Teenage Girls,ARQCMZ01187B99342C,grindcore,0.062570763,0.233131687,,356137
The Notorious B.I.G.,ARSZ6MA1187FB43D29,gangster rap,0.668509447,0.50654532,,97
